Home Team vs Away Team,Opening American Odds (Home/Away),Closing American Odds (Home/Away),Spread Bets % (Home/Away),Spread Handle % (Home/Away),Spread Movement (Home/Away),RLM Signal (Home/Away),Recommended Bet
"Miami Marlins vs Houston Astros",185/-144,185/-144,54%/46%,57%/43%,Unfavorable/Favorable,Red/Green,Miami Marlins
"Pittsburgh Pirates vs San Francisco Giants",-250/150,-250/150,31%/69%,17%/83%,Favorable/Unfavorable,Green/Red,Pittsburgh Pirates
"Philadelphia Phillies vs Baltimore Orioles",189/-233,189/-233,83%/17%,89%/11%,Favorable/Unfavorable,Red/Green,Philadelphia Phillies
"Boston Red Sox vs Kansas City Royals",191/-233,191/-233,91%/9%,91%/9%,Favorable/Unfavorable,Red/Green,Boston Red Sox
"New York Mets vs Cleveland Guardians",-213/113,-213/113,74%/26%,68%/32%,Favorable/Unfavorable,Red/Green,New York Mets
"Atlanta Braves vs Milwaukee Brewers",-588/108,-588/108,8%/92%,17%/83%,Unfavorable/Favorable,Green/Red,Atlanta Braves
"Texas Rangers vs New York Yankees",-133/147,-133/147,77%/23%,53%/47%,Favorable/Unfavorable,Red/Green,Texas Rangers
"Chicago Cubs vs Cincinnati Reds",186/-144,186/-144,87%/13%,86%/14%,Favorable/Unfavorable,Red/Green,Chicago Cubs
"Colorado Rockies vs Toronto Blue Jays",-5000/198,-5000/198,2%/98%,0%/100%,Unfavorable/Favorable,Green/Red,Colorado Rockies
"Los Angeles Angels vs Tampa Bay Rays",191/-233,191/-233,80%/20%,91%/9%,Favorable/Unfavorable,Red/Green,Los Angeles Angels
"Arizona Diamondbacks vs San Diego Padres",147/-133,147/-133,43%/57%,47%/53%,Unfavorable/Favorable,Green/Red,Arizona Diamondbacks
"Los Angeles Dodgers vs St. Louis Cardinals",105/-182,105/-182,84%/16%,80%/20%,Favorable/Unfavorable,Red/Green,Los Angeles Dodgers
"Seattle Mariners vs Chicago White Sox",194/-256,194/-256,89%/11%,94%/6%,Favorable/Unfavorable,Red/Green,Seattle Mariners
"Washington Nationals vs Oakland Athletics",189/-233,189/-233,63%/37%,89%/11%,Favorable/Unfavorable,Red/Green,Washington Nationals
